block,replicate,donor,gel,day,volume_ml,control,experiment,delta_exp_minus_control
no_gel_4ml,1,donor1,0,0,4.0,93.7,98.0,4.299999999999997
no_gel_4ml,1,donor2,0,0,4.0,87.5,90.6,3.0999999999999943
no_gel_4ml,2,donor1,0,0,4.0,94.9,97.4,2.5
no_gel_4ml,2,donor2,0,0,4.0,86.9,88.2,1.2999999999999972
no_gel_4ml,3,donor1,0,0,4.0,93.7,95.5,1.7999999999999972
no_gel_4ml,3,donor2,0,0,4.0,89.4,88.2,-1.2000000000000028
no_gel_4ml,4,donor1,0,0,4.0,93.7,94.9,1.2000000000000028
no_gel_4ml,4,donor2,0,0,4.0,88.8,88.2,-0.5999999999999943
gel_day1_3_5ml,1,donor1,1,1,3.5,98.6,96.8,-1.7999999999999972
gel_day1_3_5ml,1,donor2,1,1,3.5,85.1,89.4,4.300000000000011
gel_day1_3_5ml,2,donor1,1,1,3.5,99.2,98.0,-1.2000000000000028
gel_day1_3_5ml,2,donor2,1,1,3.5,85.1,87.5,2.4000000000000057
gel_day1_3_5ml,3,donor1,1,1,3.5,96.2,98.6,2.3999999999999915
gel_day1_3_5ml,3,donor2,1,1,3.5,86.3,85.1,-1.2000000000000028
gel_day1_3_5ml,4,donor1,1,1,3.5,97.4,98.0,0.5999999999999943
gel_day1_3_5ml,4,donor2,1,1,3.5,85.1,85.1,0.0
gel_day2_3_5ml,1,donor1,1,2,3.5,97.6,98.8,1.2000000000000028
gel_day2_3_5ml,1,donor2,1,2,3.5,90.1,92.0,1.9000000000000057
gel_day2_3_5ml,2,donor1,1,2,3.5,98.8,98.8,0.0
gel_day2_3_5ml,2,donor2,1,2,3.5,87.6,89.5,1.9000000000000057
gel_day2_3_5ml,3,donor1,1,2,3.5,98.8,101.9,3.1000000000000085
gel_day2_3_5ml,3,donor2,1,2,3.5,87.6,88.9,1.3000000000000114
gel_day2_3_5ml,4,donor1,1,2,3.5,97.6,99.4,1.8000000000000114
gel_day2_3_5ml,4,donor2,1,2,3.5,87.6,87.6,0.0
